artist;city;region;country
The Sixteen;London;England;United Kingdom
Whitesnake;London;England;United Kingdom
William Byrd;London;England;United Kingdom
Bruce Springsteen;Long Branch;New Jersey;United States
Al Jarreau;Los Angeles;California;United States
Colossal Trailer Music;Los Angeles;California;United States
Epic Score;Los Angeles;California;United States
James Horner;Los Angeles;California;United States
John Cage;Los Angeles;California;United States
League of Legends;Los Angeles;California;United States
Leonard Slatkin;Los Angeles;California;United States
Michael Tilson Thomas;Los Angeles;California;United States
Revolt Production Music;Los Angeles;California;United States
Rockabye Baby!;Los Angeles;California;United States
Vitamin String Quartet;Los Angeles;California;United States
William Verkler;Los Angeles;California;United States
Benjamin Britten;Lowestoft;England;United Kingdom
Giacomo Puccini;Lucca;Tuscany;Italy
Orchestre National De Lyon;Lyon;Auvergne-Rhône-Alpes;France
Georg Philipp Telemann;Magdeburg;Saxony-Anhalt;Germany
Immediate;Malahide;Leinster;Ireland
Malmö Symphony Orchestra;Malmö;Skåne County;Sweden
Northern Chamber Orchestra;Manchester;England;United Kingdom
Peter Donohoe;Manchester;England;United Kingdom
The Fall;Manchester;England;United Kingdom
Sharon Cuneta;Manila;National Capital Region;Philippines
Air Supply;Melbourne;Victoria;Australia
Percy Grainger;Melbourne;Victoria;Australia
Aretha Franklin;Memphis;Tennessee;United States
Adrian Chandler;Liverpool;England;United Kingdom
Antonino Fogliani;Messina;Sicily;Italy
Óscar Chávez;Mexico City;Ciudad de México;Mexico
Jorge Federico Osorio;Mexico City;Ciudad de México;Mexico
Minnesota Orchestra;Minneapolis;Minnesota;United States
Dan Gibsons Solitudes;Montreal;Québec;Canada
Louis Lortie;Montreal;Québec;Canada
Alexander Scriabin;Moscow;Moscow;Russia
Alla Pugacheva;Moscow;Moscow;Russia
Boris Berman;Moscow;Moscow;Russia
Dmitry Yablonsky;Moscow;Moscow;Russia
Gennady Rozhdestvensky;Moscow;Moscow;Russia
Michail Jurowski;Moscow;Moscow;Russia
Modest Mussorgsky;Moscow;Moscow;Russia
Moscow Symphony Orchestra;Moscow;Moscow;Russia
Russian State Symphony Orchestra;Moscow;Moscow;Russia
Sergei Prokofiev;Moscow;Moscow;Russia
State Symphony Capella of Russia;Moscow;Moscow;Russia
Valery Polyansky;Moscow;Moscow;Russia
Xlarve;Moscow;Moscow;Russia
Jun Markl;Munich;Bavaria;Germany
Max Reger;Munich;Bavaria;Germany
Richard Strauss;Munich;Bavaria;Germany
Takako Nishizaki;Nagoya;Aichi;Japan
Domenico Scarlatti;Naples;Campania;Italy
Nashville Symphony Orchestra;Nashville;Tennessee;United States
Joe Bonamassa;New Hartford;New York;United States
Aaron Copland;New York City;New York;United States
Barbra Streisand;New York City;New York;United States
Barry Manilow;New York City;New York;United States
George Gershwin;New York City;New York;United States
Joann Falletta;New York City;New York;United States
John Williams;New York City;New York;United States
Marco Beltrami;New York City;New York;United States
Marin Alsop;New York City;New York;United States
Mr. Billy;New York City;New York;United States
Murray Perahia;New York City;New York;United States
Stephen Gunzenhauser;New York City;New York;United States
Steven Halpern;New York City;New York;United States
Royal Northern Sinfonia;Newcastle upon Tyne;England;United Kingdom
Tori Amos;Newton;Massachusetts;United States
Michael Schneider;Nordhorn;Lower Saxony;Germany
Malcolm Arnold;Northampton;England;United Kingdom
Johann Pachelbel;Nuremberg;Bavaria;Germany
The Pointer Sisters;Oakland;California;United States
Carl Nielsen;Odense;Syddanmark;Denmark
The Flaming Lips;Oklahoma City;Oklahoma;United States
Antonio Soler;Olot;Catalonia;Spain
Dionne Warwick;Orange;California;United States
Puhdys;Oranienburg;Brandenburg;Germany
Jeremy Summerly;Oxford;England;United Kingdom
Oxford Camerata;Oxford;England;United Kingdom
Peter Harvey;Oxford;England;United Kingdom
Jenő Jandó;Pécs;Baranya;Hungary
Arvo Pärt;Paide;Järvamaa;Estonia
Alessandro Scarlatti;Palermo;Sicily;Italy
Gabriel Fauré;Paris;Île-de-France;France
Camille Saint-Saëns;Paris;Île-de-France;France
François Couperin;Paris;Île-de-France;France
Francis Poulenc;Paris;Île-de-France;France
Georges Bizet;Paris;Île-de-France;France
Hector Berlioz;Paris;Île-de-France;France
Jean-Philippe Rameau;Paris;Île-de-France;France
Maurice Ravel;Paris;Île-de-France;France
Monsieur de Sainte-Colombe;Paris;Île-de-France;France
Olivier Messiaen;Paris;Île-de-France;France
Patrick Gallois;Paris;Île-de-France;France
Sandrine Piau;Paris;Île-de-France;France
Songs To Your Eyes;Paris;Île-de-France;France
Yan Pascal Tortelier;Paris;Île-de-France;France
Giuseppe Verdi;Parma;Emilia-Romagna;Italy
Van Halen;Pasadena;California;United States
